genes,grRateKO
Rv3149,0.0584003656763104
Rv3151,0.0584003656763104
Rv3154,0.0584003656763104
Rv0082,0.0584003656763104
Rv3146,0.0584003656763104
Rv1695,-8.12703466832656e-13
Rv2438c,7.30936627648935e-12
Rv0157,0.0584003656763104
Rv0155,0.0584003656763104
Rv0156,0.0584003656763104
Rv3236c,0.0584003656763104
Rv0573c,0.0584003656763104
Rv1330c,0.0584003656763104
Rv1737c,0.0584003656763104
Rv0261c,0.0584003656763104
Rv0267,0.0584003656763104
Rv2329c,0.0584003656763104
Rv2287,0.0584003656763104
Rv2445c,0
Rv2920c,0.0431043536123447
Rv2043c,0.0584003656763104
Rv2421c,7.30936627648935e-12
Rv2207,0.0584003656763104
Rv1596,7.30936627648935e-12
Rv1161,0.0584003656763104
Rv1164,0.0584003656763104
Rv1163,0.0584003656763104
Rv1736c,0.0584003656763104
Rv1162,0.0584003656763104
Rv0021c,0.0584003656763104
Rv1894c,0.0584003656763104
Rv1533,0.0584003656763104
Rv0548c,0
Rv1160,0.0584003656763104
Rv2344c,0.0584003656763104
Rv2391,2.34760723295344e-12
Rv0253,0.0584003656763104
Rv0252,0.0584003656763104
Rv1525,0
Rv3265c,0
Rv1656,-2.74626521617896e-30
Rv2503c,0.0584003656763104
Rv2504c,0.0584003656763104
Rv0884c,0
Rv1385,-8.75725955413492e-28
Rv0266c,0.0584003656763104
Rv2322c,0.0584003656763104
Rv2321c,0.0584003656763104
Rv0382c,5.49117378088117e-29
Rv0118c,0.0584003656763104
Rv1248c,0.0584003656763104
Rv0555,0
Rv1187,0.0584003656763104
Rv0500,7.10226516141604e-29
Rv3602c,-2.91608172852044e-15
Rv1755c,0.0584003656763104
Rv2156c,0
Rv2392,2.34760723295351e-12
Rv2967c,0.0584003656763104
Rv0805,0.0584003656763104
Rv0843,0.0584003656763104
Rv2241,0.0584003656763102
Rv0462,0.0584003656763104
